time,true_strain,true_stress
325,-0.198831,-0.74350136
326,-0.198831,-0.74113206
327,-0.198831,-0.7430275
328.33333,-0.198831,-0.73591961
329.33333,-0.198831,-0.72975944
330.33333,-0.198831,-0.727864
331.33333,-0.198831,-0.727864
332.66667,-0.19884991,-0.73021947
333.66667,-0.19884991,-0.73353648
334.66667,-0.19885369,-0.73163828
335.66667,-0.19887259,-0.73020287
337,-0.19884612,-0.73069609
338,-0.198831,-0.72833786
339,-0.198831,-0.727864
340,-0.198831,-0.727864
341.33333,-0.198831,-0.727864
342.33333,-0.198831,-0.727864
343.33333,-0.198831,-0.727864
344.66667,-0.19884612,-0.72785294
345.66667,-0.19885747,-0.72784464
346.66667,-0.19886503,-0.72783911
347.66667,-0.19888772,-0.72782252
349,-0.19886881,-0.72783634
350,-0.19884234,-0.7278557
351,-0.198831,-0.727864
352,-0.198831,-0.727864
353.33333,-0.198831,-0.727864
354.33333,-0.198831,-0.727864
355.33333,-0.198831,-0.727864
356.66667,-0.19884991,-0.72405917
357.66667,-0.19885747,-0.72405358
358.66667,-0.19885369,-0.72784731
359.66667,-0.19884991,-0.72642852
361,-0.19886125,-0.72973728
362,-0.19884612,-0.73069609
363,-0.198831,-0.72928558
364,-0.19883478,-0.73023053
365.33333,-0.19885747,-0.72879236
366.33333,-0.19886503,-0.72783911
367.33333,-0.19886125,-0.72878959
368.66667,-0.19888016,-0.73114506
369.66667,-0.19890284,-0.72923303
370.66667,-0.19887259,-0.72783358
371.66667,-0.19884991,-0.72785017
373,-0.19885369,-0.72784741
374,-0.19883478,-0.72786123
375,-0.198831,-0.72833786
376,-0.198831,-0.73070716
377.33333,-0.19882344,-0.72976494
378.33333,-0.19880831,-0.7278805
379.33333,-0.19881588,-0.727875
380.66667,-0.198831,-0.727864
381.66667,-0.198831,-0.727864
382.66667,-0.198831,-0.72881172
383.66667,-0.198831,-0.72928555
385,-0.198831,-0.72644234
386,-0.198831,-0.724073
387,-0.198831,-0.72312525
388,-0.198831,-0.724073
389.33333,-0.19884234,-0.72311733
390.33333,-0.19885747,-0.72358064
391.33333,-0.19884612,-0.72737952
392.33333,-0.198831,-0.72975942
393.66667,-0.198831,-0.72407298
394.66667,-0.198831,-0.7221775
395.66667,-0.19883478,-0.72359636
397,-0.19884612,-0.7264313
398,-0.19881966,-0.7278722
399,-0.19880831,-0.7278805
400,-0.19882722,-0.72786675
401.33333,-0.198831,-0.727864
402.33333,-0.198831,-0.72644237
403.33333,-0.198831,-0.72454687
404.33333,-0.19884234,-0.72453895
405.66667,-0.19887259,-0.72262233
406.66667,-0.19885747,-0.72452839
407.66667,-0.19883478,-0.72738748
409,-0.198831,-0.727864
410,-0.19884612,-0.7283267
411,-0.19888016,-0.73067058
412,-0.19888016,-0.73114433
413.33333,-0.19883856,-0.72975383
414.33333,-0.19883478,-0.72880895
415.33333,-0.19885369,-0.72689966
416.33333,-0.19885747,-0.72500139
417.66667,-0.19883478,-0.72643961
418.66667,-0.198831,-0.727864
419.66667,-0.198831,-0.727864
421,-0.19885747,-0.72784464
422,-0.19888016,-0.72782805
423,-0.19885369,-0.72784741
424,-0.198831,-0.727864
425.33333,-0.198831,-0.727864
426.33333,-0.198831,-0.727864
427.33333,-0.198831,-0.727864
428.33333,-0.19883478,-0.72786122
429.66667,-0.19883856,-0.72833225
430.66667,-0.198831,-0.73023325
431.66667,-0.198831,-0.7302333
433,-0.198831,-0.727864
434,-0.19884234,-0.7278557
435,-0.19886503,-0.72783911
436,-0.19888016,-0.72782805
437.33333,-0.19884991,-0.72785017
438.33333,-0.198831,-0.72739012
439.33333,-0.198831,-0.72502075
440.33333,-0.198831,-0.72454687
441.66667,-0.19882722,-0.72407575
442.66667,-0.19881209,-0.72219125
443.66667,-0.19881209,-0.72361288
444.66667,-0.19882722,-0.72407575
446,-0.198831,-0.724073
447,-0.19884612,-0.72406194
448,-0.19887259,-0.72499033
449.33333,-0.19884991,-0.7254808
450.33333,-0.19884234,-0.72690795
451.33333,-0.19884991,-0.72832403
452.33333,-0.19883856,-0.73070163
453.66667,-0.198831,-0.73070716
454.66667,-0.198831,-0.72833786
455.66667,-0.198831,-0.727864
456.66667,-0.198831,-0.7259685
458,-0.198831,-0.72502075
459,-0.198831,-0.72549462
460,-0.198831,-0.724073
461.33333,-0.198831,-0.72549462
462.33333,-0.198831,-0.72454687
463.33333,-0.198831,-0.72454687
464.33333,-0.198831,-0.72454687
465.66667,-0.198831,-0.7259685
466.66667,-0.19884612,-0.72453581
467.66667,-0.19885369,-0.72310866
468.66667,-0.19883856,-0.72454134
470,-0.198831,-0.724073
471,-0.198831,-0.724073
472,-0.198831,-0.72644237
473.33333,-0.198831,-0.72359913
474.33333,-0.198831,-0.72265137
475.33333,-0.198831,-0.7259685
476.33333,-0.19883856,-0.72738459
477.66667,-0.19887259,-0.72641192
478.66667,-0.19886881,-0.72878402
479.66667,-0.19884234,-0.72927728
480.66667,-0.198831,-0.727864
482,-0.19883478,-0.72786123
483,-0.19885369,-0.72784741
484,-0.19885369,-0.72784741
485.33333,-0.19883478,-0.72786123
486.33333,-0.19885369,-0.72689966
487.33333,-0.19887259,-0.72499033
488.33333,-0.1988915,-0.72592425
489.66667,-0.19888016,-0.72782805
490.66667,-0.19884991,-0.72785017
491.66667,-0.19886503,-0.72547023
492.66667,-0.19886503,-0.72262723
494,-0.19883478,-0.72596586
495,-0.198831,-0.7259685
496,-0.198831,-0.72170362
497,-0.198831,-0.720282
498.33333,-0.198831,-0.72312525
499.33333,-0.19883478,-0.72217473
500.33333,-0.19884991,-0.72216362
501.66667,-0.19884234,-0.72501236
502.66667,-0.19883856,-0.72217219
503.66667,-0.19886503,-0.72215323
504.66667,-0.19886503,-0.72594398
506,-0.19883478,-0.72786123
507,-0.19884612,-0.72785294
508,-0.19886125,-0.72926345
509,-0.19884612,-0.73022223
510.33333,-0.198831,-0.72833786
511.33333,-0.198831,-0.727864
512.33333,-0.198831,-0.727864
513.66667,-0.19884991,-0.72548142
514.66667,-0.19884991,-0.72548142
515.66667,-0.19883478,-0.72786134
516.66667,-0.198831,-0.7302333
518,-0.198831,-0.72928558
519,-0.198831,-0.72644237
520,-0.198831,-0.72454687
521,-0.19883856,-0.72454134
522.33333,-0.19885747,-0.72689689
523.33333,-0.19886125,-0.72784187
524.33333,-0.19884612,-0.72500969
525.66667,-0.198831,-0.72170362
526.66667,-0.19883856,-0.72311972
527.66667,-0.19884991,-0.72500692
528.66667,-0.19884234,-0.7240647
530,-0.19885369,-0.71363116
531,-0.19885747,-0.71173302
532,-0.19885747,-0.71410302
533,-0.19885369,-0.71931841
534.33333,-0.198831,-0.72075588
535.33333,-0.198831,-0.71980813
536.33333,-0.198831,-0.71933425
537.66667,-0.198831,-0.71696487
538.66667,-0.198831,-0.71933422
539.66667,-0.198831,-0.72596842
540.66667,-0.19883478,-0.72501794
542,-0.19884991,-0.72263755
543,-0.19884234,-0.72501245
544,-0.198831,-0.72691625
545,-0.198831,-0.72739012
546.33333,-0.19885369,-0.72263478
547.33333,-0.19885747,-0.71931484
548.33333,-0.19883856,-0.71980252
549.33333,-0.198831,-0.72454684
550.66667,-0.198831,-0.7259685
551.66667,-0.198831,-0.72502075
552.66667,-0.198831,-0.72644237
554,-0.198831,-0.72549463
555,-0.198831,-0.72644237
556,-0.19884234,-0.7278557
557,-0.19887259,-0.72783358
558.33333,-0.19885369,-0.72784741
559.33333,-0.19883478,-0.72786123
560.33333,-0.19885369,-0.72784741
561.33333,-0.19886881,-0.72783634
562.66667,-0.19884234,-0.72690795
563.66667,-0.198831,-0.72549463
564.66667,-0.198831,-0.72644237
566,-0.198831,-0.727864
567,-0.198831,-0.727864
568,-0.198831,-0.72644237
569,-0.198831,-0.72454687
570.33333,-0.198831,-0.72502075
571.33333,-0.198831,-0.72644237
572.33333,-0.198831,-0.72502075
573.33333,-0.19883478,-0.72454411
574.66667,-0.19885747,-0.72452752
575.66667,-0.19885369,-0.71931766
